particle;Translation_to_SV;Translation_category;Abs_fq_Core_CS;ipm_Core_CS;Abs_fq_Europarl_CS;ipm_Europarl_CS;Abs_fq_Core_SV;ipm_Core_SV;Abs_fq_Europarl_SV;ipm_Europarl_SV;Acquis;ipm_Acquis
asi;antagligen;medium probability;37;1,6154093097913300;2;10,31769230769230;6;57,70345447883010;1;0,365764447695684;0;0,0000000000000
asi;då;disapproval;3;0,1309791332263240;1;5,15884615384615;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;egentligen ;high probability;2;0,0873194221508828;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;error;error;4;0,1746388443017660;4;20,63538461538460;3;28,85172723941500;2;0,731528895391368;10;240,9638554216870
asi;förmodligen;medium probability;26;1,1351524879614801;2;10,31769230769230;5;48,08621206569170;0;0,000000000000000;0;0,0000000000000
asi;förstås;approval;5;0,2182985553772070;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;ju;high probability;0;0,0000000000000000;0;0,00000000000000;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;other modal verbs;modal verbs;24;1,0478330658105901;1;5,15884615384615;32;307,75175722042701;0;0,000000000000000;1;24,0963855421687
asi;kanhända;low probability;1;0,0436597110754414;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;kanske;low probability;52;2,2703049759229499;5;25,79423076923080;42;403,92418135181100;5;1,828822238478420;1;24,0963855421687
asi;knappast;very low probability;2;0,0873194221508828;0;0,00000000000000;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;månntro;low probability;1;0,0436597110754414;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;måhända;low probability;0;0,0000000000000000;0;0,00000000000000;1;9,61724241313835;0;0,000000000000000;0;0,0000000000000
asi;möjligen;low probability;2;0,0873194221508828;0;0,00000000000000;0;0,00000000000000;5;1,828822238478420;0;0,0000000000000
asi;naturligtvis;high probability;1;0,0436597110754414;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;nog;low probability;89;3,8857142857142901;0;0,00000000000000;43;413,54142376494900;5;1,828822238478420;0;0,0000000000000
asi;numbers ≈ ungefär;with numbers;210;9,1685393258426995;11;56,74730769230770;103;990,57596855325005;0;0,000000000000000;547;13180,7228915662999
asi;other;other;12;0,5239165329052970;1;5,15884615384615;21;201,96209067590499;0;0,000000000000000;2;48,1927710843374
asi;sannolikt;high probability;4;0,1746388443017660;0;0,00000000000000;1;9,61724241313835;0;0,000000000000000;1;24,0963855421687
asi;skulle;modal verbs;10;0,4365971107544140;0;0,00000000000000;8;76,93793930510680;0;0,000000000000000;NA;0,0000000000000
asi;snarare;medium probability;2;0,0873194221508828;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;säkert;high probability;11;0,4802568218298560;2;10,31769230769230;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;tror/antar/undrar;possibility verbs;16;0,6985553772070630;1;5,15884615384615;15;144,25863619707499;0;0,000000000000000;1;24,0963855421687
asi;troligen;medium probability;8;0,3492776886035310;1;5,15884615384615;0;0,00000000000000;1;0,365764447695684;0;0,0000000000000
asi;troligtvis;medium probability;2;0,0873194221508828;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;tydligen;medium probability;4;0,1746388443017660;0;0,00000000000000;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;typ;low probability;0;0,0000000000000000;0;0,00000000000000;1;9,61724241313835;0;0,000000000000000;0;0,0000000000000
asi;tämligen säkert;high probability;1;0,0436597110754414;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;0;0,0000000000000
asi;uppenbarligen;high probability;1;0,0436597110754414;1;5,15884615384615;1;9,61724241313835;0;0,000000000000000;0;0,0000000000000
asi;utan tvivel;high probability;0;0,0000000000000000;0;0,00000000000000;1;9,61724241313835;0;0,000000000000000;0;0,0000000000000
asi;mycket sannolikt;high probability;0;0,0000000000000000;0;0,00000000000000;0;0,00000000000000;0;0,000000000000000;1;24,0963855421687
asi;visst;disapproval;0;0,0000000000000000;0;0,00000000000000;2;19,23448482627670;0;0,000000000000000;0;0,0000000000000
asi;väl;low probability;24;1,0478330658105901;0;0,00000000000000;42;403,92418135181100;0;0,000000000000000;0;0,0000000000000
asi;zero;zero;44;1,9210272873194201;2;10,31769230769230;59;567,41730237516197;1;0,365764447695684;3;72,2891566265060
